IlmnID,Relation_to_UCSC_CpG_Island,CHR,Infinium_Design_Type
cg06300694,,1,II
cg17091049,S_Shore,1,I
cg05604105,S_Shore,8,II
cg20078054,,3,I
cg14717170,,3,II
cg21355451,S_Shore,19,II
cg03916903,,17,II
cg14080071,,8,II
cg12005363,,8,II
cg05163475,N_Shore,17,II
cg00427601,,13,II
cg04616566,,15,II
cg12073910,,9,I
cg21265156,,5,II
cg15912539,,7,II
cg00054791,N_Shore,17,II
cg01338924,Island,8,II
cg12600418,Island,1,I
cg17759167,,8,II
cg02812899,Island,8,II
cg24783286,S_Shore,6,II
cg01859402,,19,II
cg01876578,,7,II
cg16139239,Island,2,I
cg21924073,,14,II
cg12779823,N_Shore,17,I
cg09386619,Island,6,I
cg11385353,,2,II
cg18775634,N_Shore,3,II
cg09521435,,2,II
cg22123267,,11,II
cg26965794,N_Shore,1,II
cg21987541,,3,II
cg18592975,Island,7,I
cg11816065,,1,II
cg16768018,Island,3,I
cg02372821,,16,II
cg01308236,N_Shore,3,II
cg21472642,N_Shore,7,II
cg24148133,N_Shore,13,I
cg17604469,S_Shore,2,II
cg18032430,N_Shelf,10,II
cg07938826,N_Shelf,6,II
cg24745738,S_Shore,13,II
cg23497436,N_Shelf,19,I
cg05721427,,4,II
cg15232894,,19,I
cg12827632,Island,10,II
cg19850184,,3,II
cg10482201,Island,16,I
cg03188641,Island,17,II
cg27037357,N_Shelf,17,II
cg14025053,S_Shore,8,I
cg02275213,S_Shelf,6,I
cg09717998,,19,II
cg22596511,,1,II
cg20144521,Island,1,I
cg16264807,N_Shore,17,II
cg06010490,Island,10,II
cg24647794,N_Shore,1,II
cg03340215,Island,15,II
cg05675785,,7,II
cg06083168,,5,II
ch.16.13300564R,,16,II
cg10942341,,2,II
cg09464246,,3,II
cg17655005,Island,17,II
cg07879727,Island,17,II
cg25765864,,22,II
cg11797994,Island,11,I
cg13638420,Island,11,II
cg04471507,Island,1,II
cg19402083,Island,9,II
cg05502344,,X,II
cg27007008,Island,6,I
cg16210375,,2,II
cg01523759,,16,I
cg00021166,,12,II
cg19248982,Island,3,II
cg14668821,,17,II
cg03077534,,5,II
cg12271856,,5,II
cg21590385,,1,II
cg14375923,N_Shore,13,I
cg11369971,,12,II
cg27501522,,17,II
cg06019034,,19,II
cg14247444,,7,I
cg02714666,,3,II
cg08285151,,7,II
cg09155024,,10,II
cg19983605,,5,II
cg00716390,Island,8,II
cg13318656,,3,II
cg11339224,,2,II
cg01566198,,3,II
cg25348163,,9,II
cg23060191,,20,II
cg25842763,N_Shelf,7,II
cg07687567,Island,7,I
cg24418393,,7,II
cg14739437,Island,8,I
cg17787159,Island,19,I
cg19774683,,6,II
cg03271354,Island,17,I
cg00362569,,4,II
cg24090889,,10,II
cg12190288,Island,1,I
cg09062038,,10,II
cg25541708,S_Shore,5,I
cg15203770,Island,4,II
cg13793166,S_Shore,9,II
cg00273129,,1,II
cg15026474,,3,II
cg06358344,,2,II
cg15440868,S_Shelf,2,II
cg08786458,,9,II
cg25408085,,11,II
cg21195535,,2,I
cg26350286,Island,8,II
cg15082929,,5,II
cg15002672,,18,II
cg09290103,,9,II
cg27613273,,11,II
cg21503137,,19,II
cg08423142,,15,II
cg04501947,,17,II
cg09900361,,1,II
cg24130641,,21,II
cg00868847,Island,8,II
cg11078450,,8,II
cg06233376,N_Shore,16,II
cg11068725,,3,II
cg00730413,,1,II
cg16915891,,16,II
cg17071301,,20,II
cg20045394,,17,II
cg03541799,S_Shelf,7,II
cg18633728,,16,II
cg24398268,Island,5,I
cg04309911,N_Shore,6,II
cg15143447,Island,21,II
cg09736922,N_Shelf,3,II
cg09726087,,3,II
cg05718270,N_Shore,8,II
cg02115067,,6,II
cg24053061,S_Shore,12,I
cg02197629,S_Shore,21,I
cg18881633,,12,II
cg12526473,,4,II
cg24868167,Island,6,I
cg03744522,Island,1,I
cg27109650,Island,12,II
cg27044641,,12,I
cg04758185,,16,I
cg11834951,,3,II
cg00385040,,10,II
cg24633745,,1,I
cg09154963,Island,9,I
cg10102762,Island,8,II
cg00475955,Island,9,I
cg11613015,,5,I
cg12528408,,2,II
cg02782805,,4,II
cg02288754,Island,16,II
cg16810342,Island,X,II
cg26528000,N_Shore,9,I
cg00727386,,3,I
cg02181266,Island,1,II
cg06192753,S_Shore,19,II
cg13484753,,14,II
cg20628696,,5,II
cg02398342,N_Shore,17,II
cg12977135,,8,II
cg11288670,,2,II
cg12145308,,19,II
cg14479638,,11,II
cg06793796,N_Shelf,13,II
cg15269758,,8,II
cg17549886,,4,II
cg25061430,,8,II
cg02340465,S_Shelf,6,II
cg13865352,Island,18,I
cg23413527,,15,II
cg02454350,,3,II
cg15352147,,9,II
cg08872617,Island,16,I
cg25112500,,5,II
cg09995095,Island,21,I
cg07431429,Island,13,I
cg21863874,,10,II
cg19175193,,6,II
cg25067940,N_Shelf,19,II
cg06835272,,9,II
cg10020083,Island,5,II
cg12890346,,3,II
cg23505095,,12,II
cg22857085,N_Shore,4,II
cg06201512,,7,II
cg11881702,,14,II
cg14993283,Island,6,I
cg24845753,,X,II
cg21849117,S_Shore,8,II
cg24063742,,3,II
cg00729136,S_Shore,10,II
cg14643075,N_Shelf,5,II
cg22336648,,3,II
cg22098240,,2,II
cg10168009,S_Shelf,12,II
cg17904988,N_Shelf,1,II
cg09202696,,17,II
cg15355406,,11,II
cg21981214,Island,20,II
cg07645157,,22,II
cg10580354,,8,II
cg23551195,N_Shore,10,II
cg08706626,,9,II
cg21717884,,10,II
cg10529739,,12,II
cg18839017,Island,6,II
cg03850256,S_Shore,2,II
cg22501942,S_Shelf,1,II
cg00908271,,16,II
cg23983635,N_Shore,7,II
cg21199023,Island,5,I
cg10697032,,4,II
cg14858032,,2,II
cg21986531,,1,II
cg02412174,,12,II
cg27088159,,1,II
cg03467087,,6,II
cg18843803,,19,II
cg25022584,,9,II
cg18495443,,2,II
cg00522377,,X,II
cg02581554,Island,3,II
cg14414082,,12,II
cg22786435,Island,3,I
cg17812664,S_Shelf,10,II
cg11370512,Island,12,I
cg13769964,Island,19,II
cg04857246,,1,II
cg10506486,,9,II
cg04646889,,2,II
cg01243968,Island,4,I
cg02203438,,3,II
cg02471993,,6,II
cg18172358,,1,II
cg18912406,S_Shelf,10,II
cg04586348,,19,II
cg23959009,Island,4,II
cg20789700,,4,II
cg10444683,,1,II
cg12563818,,17,II
cg23104816,,6,II
cg16465649,N_Shore,2,II
cg22824748,,10,II
cg01988325,N_Shore,5,II
cg06012795,,18,II
cg10590844,N_Shelf,6,II
cg22846949,Island,16,II
cg25656380,,1,II
cg03165841,S_Shore,1,I
cg11085942,,14,II
cg10359913,S_Shore,16,II
cg05347471,,7,II
cg23665973,Island,2,I
cg17823892,Island,15,I
cg02724025,Island,16,I
cg04854568,S_Shore,7,II
cg17678562,,4,II
cg12988231,,1,II
cg00915206,Island,2,II
cg04720277,,2,II
cg08065101,Island,2,II
cg02725908,N_Shore,12,II
cg21438602,Island,21,II
cg22331074,Island,8,I
cg22117760,,17,II
cg08817540,,3,II
cg01292427,,19,II
cg22860762,,1,II
cg12706641,,1,II
cg13445531,S_Shore,7,II
cg19371262,Island,11,I
cg10996258,,14,II
cg25822633,S_Shore,X,II
cg00213714,N_Shore,9,II
cg11262601,,8,II
cg07170526,,X,II
cg03366867,N_Shore,6,II
cg01214116,,10,II
cg18709998,,14,II
cg04621020,Island,5,II
cg04282298,N_Shore,4,II
cg10185505,N_Shore,1,II
cg01179482,,3,II
cg11116300,,14,II
cg09463394,,12,II
cg24639862,Island,11,I
cg14053257,Island,17,I
cg26132774,Island,13,I
cg20939159,S_Shore,4,II
cg12338537,,4,II
cg15864379,,17,II
cg24257776,Island,3,I
cg27464065,S_Shore,12,II
cg27641239,,20,II
cg11143486,N_Shore,1,I
cg20624830,Island,10,I
cg24996339,,6,I
cg12362726,N_Shore,12,II
cg01338347,,19,II
cg01515060,,6,II
cg01723606,Island,7,I
cg13151425,S_Shore,7,I
cg07715277,,17,II
cg22778132,Island,4,I
cg02158603,,20,II
cg19649018,,10,II
cg08471173,,2,II
cg19329986,,8,II
cg07108754,,15,II
cg01188867,,1,II
cg26001285,,6,II
cg00215204,,14,II
cg04201744,N_Shore,2,II
cg10604746,,17,I
cg19674205,S_Shelf,3,I
cg13534740,S_Shelf,17,I
cg11021200,Island,13,I
cg16593812,,1,II
cg01642605,,4,II
cg06288821,N_Shore,8,I
cg12302692,,12,II
cg05219517,Island,19,I
cg15133265,,2,II
cg21160290,N_Shore,9,I
cg10748738,,17,II
cg24170212,,14,II
cg26204638,Island,20,II
cg08653632,,3,II
cg15713898,,17,II
cg04944682,Island,2,I
cg06617327,,18,II
cg16303737,,20,II
cg05059169,,2,II
cg11716064,,10,II
cg13557631,Island,15,I
cg05555725,,X,II
cg14100362,Island,5,II
cg15029402,,3,I
cg04129687,,1,II
cg07209818,,2,II
cg05106053,,3,II
cg03283842,N_Shore,2,II
cg19647058,Island,1,I
cg02239915,,18,II
cg03917887,Island,9,II
cg06757498,,5,II
cg13278496,N_Shore,3,II
cg01917932,Island,8,II
cg16014523,,6,II
cg17085598,,6,II
cg08202596,,1,II
cg03508928,Island,3,I
cg16251280,,11,II
cg07165529,S_Shore,18,I
cg08532282,,7,II
cg16013720,N_Shore,1,I
cg11328054,N_Shore,7,II
cg12897597,,11,II
cg07709618,,13,II
cg07502613,,11,II
cg03631113,,15,II
cg27228563,Island,15,I
cg11539992,Island,17,I
cg13249146,S_Shore,12,I
ch.2.207814544R,,2,II
cg16596039,,18,II
cg23099439,S_Shore,17,II
cg22512527,,17,II
cg15499617,,16,II
cg10745724,,3,II
cg04396936,N_Shore,7,II
cg25174439,,10,II
cg21961077,N_Shore,3,II
cg25361175,Island,10,I
cg23979027,N_Shelf,1,II
cg17858851,Island,16,I
cg23845719,Island,5,I
cg00273863,,6,II
cg03150474,Island,6,I
cg26309592,,9,II
cg02387403,S_Shelf,10,II
cg10543469,N_Shore,17,II
cg09823395,Island,1,II
cg07221080,N_Shore,2,II
cg04141140,,4,II
cg07095091,,13,I
cg13793510,,2,I
cg02216498,,1,II
cg17301289,N_Shore,17,II
cg07578663,Island,10,I
cg26203055,Island,18,I
cg13836380,S_Shelf,9,II
cg10420952,Island,7,I
cg03639675,Island,16,II
cg23176237,N_Shore,7,II
cg06993329,N_Shore,11,I
cg11012181,S_Shelf,19,II
cg10468702,S_Shore,19,II
cg06679143,Island,4,I
cg15094668,,1,II
cg06336451,N_Shelf,11,II
cg00247830,,10,II
cg10593519,,2,II
cg12984284,,10,II
cg13299946,,18,II
cg07011168,,10,II
cg18230984,,2,II
cg22936981,,1,II
cg20836152,,19,II
cg13290025,,1,II
cg01407244,S_Shore,8,II
cg19734792,,3,II
cg18202751,Island,17,I
cg13662293,S_Shore,11,II
cg00413510,,18,II
cg18157915,Island,17,I
cg25385684,N_Shore,11,I
cg17967673,Island,19,I
cg00151728,N_Shelf,3,II
cg25046129,,4,II
cg02633599,S_Shore,2,I
cg06252798,,1,II
cg18891864,N_Shelf,18,II
cg17371189,,2,II
cg01279908,,1,II
cg24342409,Island,15,I
cg03900021,,12,II
cg18667543,,6,II
cg19057874,,10,II
cg16194968,,1,II
cg26479323,N_Shore,2,II
cg19935802,Island,16,II
cg04156329,,10,II
cg11315455,S_Shelf,X,II
cg16781877,,1,II
cg10595547,N_Shore,10,I
cg18220921,N_Shore,1,II
cg08295285,Island,19,I
cg10985158,,1,II
cg15808301,,5,II
cg08285007,,12,II
cg16472210,Island,3,I
cg13850926,,12,II
cg21853510,,17,I
cg11549975,Island,6,I
cg06988775,Island,7,I
cg14599127,,20,II
cg07796261,,1,II
cg14374996,,6,II
cg27446185,,1,II
cg01219129,Island,19,I
cg24116285,S_Shore,X,I
cg23619605,,22,II
cg05412788,Island,12,I
cg18579327,S_Shore,2,II
cg00319741,,9,II
cg02600974,Island,9,II
cg00929523,Island,1,II
cg15158847,,1,II
cg17997279,S_Shore,20,II
cg08779252,S_Shore,12,II
cg12901038,S_Shore,11,II
cg19300307,,13,I
cg00902448,,2,II
cg23525492,S_Shore,15,II
cg19013695,,21,II
cg01933515,,14,II
cg03406609,S_Shore,16,I
cg26075747,Island,6,I
cg01526474,Island,6,II
cg05137199,,19,II
cg03727015,Island,7,I
cg01600621,Island,19,I
cg03954045,,12,II
cg03292069,S_Shelf,3,II
cg07394299,S_Shore,5,I
cg04535829,,3,I
cg10799668,,10,I
cg22812972,Island,12,I
cg17205797,,21,I
cg14836636,S_Shore,12,II
cg13492337,,8,II
cg06830555,Island,3,I
cg03609398,S_Shore,8,I
cg07964240,,6,II
cg00899855,,16,II
cg17774528,,16,II
cg11855516,Island,2,I
cg00397306,,19,II
cg15770728,Island,18,II
cg00188971,,X,II
cg16713009,Island,19,I
cg25776255,Island,4,I
cg13871400,,18,I
cg21585733,Island,11,II
cg10524161,,12,II
cg03576703,S_Shore,17,II
cg00690232,,9,II
cg09378111,Island,2,II
cg24508095,N_Shelf,11,I
cg03768513,Island,22,II
cg04404310,,12,I
cg04176235,,8,II
cg03368870,S_Shore,16,II
cg08550839,Island,19,II
cg07995615,,13,II
cg27658518,,3,II
cg11169405,N_Shelf,19,II
cg21330976,N_Shelf,18,II
cg06942668,N_Shore,2,I
cg01961211,N_Shelf,13,II
cg27617159,,6,II
cg02368045,,6,II
cg05329785,N_Shore,6,II
cg17875254,Island,1,II
cg18495231,N_Shore,15,II
cg08411735,Island,13,II
cg09655234,,4,II
cg04097219,,5,II
cg17650493,,17,II
cg09522188,Island,22,I
cg04904385,S_Shore,7,I
cg18584428,,2,II
cg19621689,,16,II
cg01775245,,8,II
cg23085049,,12,I
cg25127789,,5,II
cg14161454,S_Shore,11,I
cg10498747,Island,16,II
cg10504108,S_Shore,1,I
cg15277588,,20,II
cg04971991,,9,II
cg13408549,Island,1,I
cg25614218,Island,16,II
cg18777711,,X,II
cg13470337,,6,II
cg04662629,N_Shore,6,II
cg01529253,,17,II
cg12642773,,11,II
cg10145609,,7,II
cg02617702,N_Shore,19,II
cg01239944,,7,II
cg10636787,,14,II
cg13469422,S_Shelf,6,II
cg09505835,,20,II
cg06493556,,2,II
cg17710911,,6,II
cg17608350,,6,II
cg23540250,,10,II
cg07269053,,10,II
cg02382160,,9,II
cg16000682,,7,II
cg06768079,,8,I
cg09912350,Island,4,I
cg14440272,,6,II
cg15806271,S_Shore,13,II
cg16793730,,6,II
cg21169617,N_Shore,9,I
cg03541025,,7,II
cg17795164,Island,2,I
cg27065225,N_Shelf,8,II
cg15799777,,1,II
cg11503370,,5,II
cg09857324,S_Shore,16,II
cg13797646,,14,II
cg23710611,,1,II
cg09850692,,6,II
cg05258914,,6,II
cg25440818,Island,17,I
cg02832460,,9,II
cg16991671,S_Shore,14,II
cg22868543,Island,10,II
cg14430167,,5,II
cg21541159,,2,II
cg07305211,,X,II
cg04011741,Island,9,I
cg00811436,,5,II
cg05791108,Island,21,II
cg22518081,,17,II
cg15761251,,22,II
cg26985119,Island,X,II
cg05459650,,4,II
cg03955375,,8,I
cg18581854,,20,II
cg00171154,N_Shore,12,II
cg25112414,,13,I
cg01157447,,6,II
cg04029625,Island,17,I
cg02705163,,6,I
cg04932381,Island,14,I
cg22047295,,2,II
cg14613677,,1,II
cg13873902,,6,I
cg13141009,,3,I
cg15738856,Island,2,II
cg10103127,N_Shore,12,I
cg12838839,,4,II
cg04503267,S_Shore,1,I
cg01738457,,11,II
cg05791018,Island,13,II
cg04330389,Island,19,I
cg09125999,,11,II
cg26688412,N_Shore,5,II
cg12973303,,1,II
cg22695711,,7,II
cg13835688,,9,II
cg13389817,,8,II
cg02220965,N_Shore,16,I
cg09614932,,3,II
cg18930358,,1,II
cg21013323,N_Shelf,6,II
cg10894205,S_Shelf,17,I
cg24356153,,20,II
cg07575770,,4,II
cg11497658,,10,II
cg04280590,N_Shore,9,II
cg17419935,Island,1,I
cg27444940,,13,II
cg07263382,S_Shore,18,II
cg02715291,Island,4,I
cg17847474,,16,II
cg00590029,Island,12,II
cg04161137,Island,1,I
cg04219014,N_Shore,17,II
cg09910998,Island,7,I
cg06373233,,10,II
cg23295528,,20,II
cg19794975,,20,II
cg15208685,,14,II
cg21615907,,14,II
cg17147265,,4,II
cg16134262,S_Shore,2,II
cg14602234,,9,II
cg19464140,,20,II
cg09366994,,17,II
cg12548629,Island,7,I
cg02702107,,12,II
cg07678942,,17,II
cg01896656,,7,I
cg05416548,,X,II
cg27118196,,1,II
cg11169848,S_Shore,11,II
cg21757951,N_Shelf,11,II
cg21401737,S_Shore,1,I
cg13135609,,8,II
cg13907959,Island,1,I
cg08498107,,13,II
cg18133263,Island,2,II
cg18091117,S_Shore,7,II
cg21533727,Island,7,I
cg04559824,N_Shore,1,II
cg04193912,,3,II
cg00377332,,3,II
cg18202449,Island,1,II
cg26992213,Island,6,I
cg21890335,N_Shelf,4,II
cg05311623,Island,4,II
cg03810717,,10,II
cg15050753,S_Shelf,3,II
cg12354047,,9,II
cg13860548,Island,1,I
cg13154614,,2,II
cg09185399,Island,11,II
cg13426079,Island,1,I
cg10336714,,7,II
cg06699638,Island,8,I
cg19471291,,6,I
cg21858904,,1,II
cg17542408,Island,11,I
cg11773346,Island,19,I
cg02490678,,12,II
cg03364076,Island,17,I
cg01822145,N_Shelf,17,II
cg14343017,,7,I
cg05224491,,8,II
cg06909290,,15,II
cg00351681,Island,10,I
cg18601261,Island,12,I
cg23018838,,21,II
cg00388870,Island,5,II
cg07191056,,12,II
cg23675433,Island,10,I
cg27230711,Island,10,I
cg02280200,,12,II
cg25550425,,5,II
cg00008500,,14,II
cg23367665,,1,II
cg21167157,,12,II
cg05609059,Island,1,II
cg22156869,,2,II
cg26207837,,10,II
cg15635319,,15,II
cg02399052,,12,II
cg06059854,,8,II
cg08557970,,6,II
cg09791501,,X,II
cg05662500,Island,3,II
cg10130678,,1,II
cg20444098,Island,16,I
cg27195326,S_Shore,12,II
cg03309898,Island,8,II
cg05025164,Island,4,I
cg16926389,Island,17,I
cg13695286,,11,II
cg08657541,,2,II
cg25564299,,11,II
cg09832397,,7,I
cg01087869,S_Shore,16,II
cg08030611,,6,II
cg19337748,,2,II
cg17279592,,6,II
cg05945314,Island,20,II
cg06758591,Island,1,I
cg08747153,,1,II
cg22705386,Island,7,II
cg02136849,,7,II
cg18519050,S_Shore,14,I
cg27602795,Island,6,II
cg13320172,,6,II
cg18730746,Island,3,I
cg08184927,,8,II
cg18294502,Island,9,I
cg25219728,,4,II
cg15991262,Island,7,I
cg00997917,,10,II
cg13887004,Island,2,I
cg26147554,Island,18,I
cg17153363,,7,I
cg10339665,N_Shore,9,II
cg07685390,,12,I
cg04232246,,20,II
cg08558259,,10,II
cg20975682,S_Shelf,12,II
cg07476327,,2,II
cg03724882,Island,14,II
cg00352349,Island,2,II
cg02299843,N_Shore,5,II
cg01129966,S_Shore,11,I
cg02404846,,10,II
cg00230368,Island,6,II
cg10842080,Island,17,II
cg08894663,N_Shore,5,II
cg04889800,N_Shore,1,I
cg13993945,N_Shore,1,II
cg13833886,,10,II
cg14214341,,14,II
cg17407342,,1,II
cg13954265,,2,II
cg03781318,Island,15,II
cg25716820,S_Shelf,19,II
cg03596210,,11,II
cg14359486,Island,9,I
cg10752406,,19,I
cg13229537,,8,II
cg09393551,,14,II
cg01646407,N_Shore,6,II
cg06562283,S_Shore,11,II
cg16327027,,13,II
cg03773180,,11,II
cg04241123,,12,II
cg15125757,Island,6,II
cg16709581,,21,II
cg13396661,S_Shore,7,I
cg24078245,,1,II
cg18410358,,6,II
cg01555764,,20,II
cg24737324,,20,II
cg10042755,,17,II
cg21768042,,5,II
cg20708103,,11,II
cg15477077,Island,6,I
ch.3.69086826R,,3,II
cg07307969,,1,II
cg23252629,,6,II
cg14557064,,5,I
cg24137216,S_Shore,8,I
cg23424739,,X,II
cg05887614,,22,II
cg10859151,S_Shore,10,II
cg03694713,Island,8,II
cg02745847,Island,17,I
cg15248835,Island,8,I
cg18669672,,X,II
cg08245438,,17,II
cg09744501,,16,II
cg00991875,Island,6,I
cg23350327,,7,I
cg22716292,S_Shelf,11,II
cg02430385,Island,15,I
cg04455137,,7,II
cg25480395,Island,5,II
cg17795059,N_Shore,22,II
cg01983185,Island,19,I
cg17094296,S_Shore,4,II
cg11148994,,17,II
cg07135647,,16,I
cg06664205,,5,II
cg24562149,N_Shore,20,II
cg13454596,,21,II
cg06852298,S_Shore,1,I
cg13416772,,1,II
cg20357397,,11,II
cg18954935,S_Shore,18,II
cg20844640,,8,II
cg17609680,,X,II
cg08941794,Island,8,I
cg14508028,,2,II
cg13713046,,8,II
cg14693777,,2,II
cg12236406,,4,II
cg13669188,S_Shelf,9,II
cg12375870,,1,II
cg26085111,,5,II
cg14838801,Island,2,II
cg09577932,,19,II
cg00205636,,6,II
cg04850796,N_Shore,4,II
cg15886957,S_Shore,12,II
cg08321145,N_Shelf,4,II
cg14837848,Island,6,II
cg26308506,,14,II
cg01578583,,2,II
cg12793842,,17,II
cg25089332,Island,3,II
cg05151824,N_Shore,10,II
cg11682858,,11,II
cg02223222,,11,II
cg24815728,,5,II
cg00811065,Island,7,II
cg19191594,Island,21,II
cg17669987,Island,3,I
cg16209776,,12,II
cg27556535,,10,II
cg15196365,N_Shore,17,II
cg19934194,,7,II
cg02133557,Island,20,II
cg19794842,S_Shelf,15,II
cg09111258,Island,17,II
cg02462065,N_Shelf,7,II
cg00562871,,8,I
cg25267765,Island,19,I
cg11196533,,6,II
cg19613432,Island,2,II
cg11296759,Island,12,I
cg23620622,S_Shore,2,II
cg14645898,,20,II
cg19810457,,5,II
cg15339142,,12,II
cg01570068,N_Shore,8,II
cg13261802,S_Shelf,3,II
cg05192138,,15,II
cg18577197,,22,II
cg16859420,,8,II
cg15400282,N_Shore,19,II
cg25206705,Island,17,I
cg03117053,Island,19,I
cg06239350,S_Shore,19,II
cg18420229,,12,II
cg15443767,,2,II
cg18318307,,11,II
cg02672643,,11,II
cg19526130,Island,1,II
cg15293759,,10,I
cg24786549,N_Shore,4,II
cg17429075,,10,I
cg05661786,,1,II
cg18337222,S_Shore,3,I
cg04796181,Island,6,I
cg09558572,,7,II
cg20664795,,X,II
cg00184032,,3,II
cg11555122,Island,17,I
cg27540841,Island,16,I
cg11769606,Island,5,II
cg08808391,,8,II
cg03160935,N_Shore,9,II
cg02081722,,7,II
cg10944833,N_Shelf,6,II
cg17564150,Island,19,II
cg23199938,,5,II
cg06580689,,17,II
cg04295549,N_Shore,17,II
cg23929036,,1,II
cg15654458,,6,II
cg15657995,,16,II
cg16434764,,2,I
cg14453762,,9,II
cg06094126,N_Shore,1,II
cg21054563,S_Shore,5,II
cg17029706,,17,II
cg21234233,S_Shore,19,II
cg09045100,Island,14,II
cg00909232,,12,II
cg26975408,,7,II
cg07981495,,6,II
cg13706028,,19,II
cg17985269,,5,II
cg12825836,Island,19,II
cg14654935,,7,II
cg06643013,Island,6,II
cg08306900,,18,II
cg22365987,,3,II
cg04899361,,7,I
cg00043949,,6,I
cg07232612,,7,II
cg06638568,,6,I
cg11003660,N_Shelf,9,II
cg26400938,,10,II
cg00086869,,10,II
cg00436996,,2,I
cg12499311,,5,II
cg13297398,,22,II
cg08664412,,6,I
cg19049213,,2,II
cg08592123,,1,II
cg03545227,Island,2,II
cg03564045,,21,II
cg08889585,Island,1,I
cg08523181,,20,II
cg22805341,,4,II
cg25601709,N_Shore,12,II
cg07121313,,15,II
cg22718111,,7,I
cg02716406,,1,II
cg09399878,,11,II
cg27494390,N_Shore,16,II
cg13526596,,14,II
cg07352245,Island,5,I
cg14441392,S_Shore,19,II
cg22138002,Island,18,I
cg01514436,Island,17,I
cg14865284,,7,II
cg07806797,S_Shore,X,II
cg08449389,Island,15,I
cg15574713,,6,II
cg24371742,Island,7,I
cg09468043,,7,II
cg13865502,Island,9,II
cg18034637,N_Shore,11,II
cg13591030,,6,II
cg14323395,,X,II
cg11454328,,11,II
cg03689054,Island,17,I
cg13686044,,17,I
cg13696283,N_Shore,13,II
cg20297940,,1,I
cg01055691,N_Shore,3,II
cg00020446,,12,II
cg04360009,Island,10,II
cg16815588,,2,II
cg19856739,,6,II
cg01454389,,14,II
cg11688578,,4,II
cg11018547,,3,II
cg19989470,,16,II
cg20311019,,16,II
cg22147448,Island,3,I
cg02474578,,3,II
cg22181049,,11,II
cg25168455,,6,II
cg02989768,Island,6,I
cg13486805,Island,19,II
cg06600517,,X,II
cg08445450,,12,II
cg03948648,,15,II
cg08652985,Island,17,II
cg27013765,,3,I
cg03073905,,1,II
cg21181363,,3,II
cg00187551,,9,II
cg20491017,N_Shore,15,II
cg04236664,,3,II
cg25879365,S_Shelf,1,II
cg00202166,,13,II
ch.20.1436892F,S_Shore,20,II
cg13733796,,3,II
cg17379886,Island,20,II
cg15449664,S_Shore,11,I
cg15451504,,14,II
cg18807485,Island,12,II
cg03843019,,5,II
cg10958904,,2,II
cg14954740,N_Shelf,10,I
cg18393699,Island,12,I
cg06032862,,3,I
cg16396033,,12,II
cg21731937,,5,II
cg01418388,,8,II
cg01137949,,2,II
cg02472339,,6,I
cg24923643,Island,16,I
cg01383475,,1,II
cg08189100,,17,I
cg18903666,,10,II
cg00469241,,1,II
cg12095067,Island,19,I
cg03840920,,16,II
cg13150925,,12,II
cg27336000,,12,II
cg13646880,,2,II
cg02281699,,12,II
cg12646252,Island,X,I
cg09944866,S_Shore,1,II
cg09662411,Island,1,II
cg24811805,,7,II
cg26732500,,10,II
cg20997239,,3,II
cg16723362,Island,2,II
cg10704762,S_Shore,5,II
cg18165065,,1,II
cg22464692,,5,II
cg16317164,,12,II
cg11998020,,10,II
cg22816534,Island,1,I
cg11938327,,9,II
cg09409126,N_Shore,13,I
cg10847789,,11,II
cg22041590,,2,II
cg17564367,Island,10,I
cg00795261,,3,II
cg01810926,S_Shore,1,II
cg21834225,,12,II
cg04215186,,16,II
cg06870118,N_Shore,3,II
cg26793226,,1,I
cg02694576,N_Shore,11,I
cg17821372,,3,II
cg25229252,,3,II
cg05921148,,10,II
cg25284762,S_Shore,11,II
cg11221800,,6,II
cg13295193,Island,6,II
cg22923409,,10,II
cg08192165,Island,6,II
cg15733632,,4,I
cg10590909,Island,10,I
cg07556938,,2,I
cg09179845,,5,II
cg01169521,,14,I
cg03147470,,10,II
cg24659037,S_Shore,6,I
cg00439196,Island,16,I
cg02547390,,22,II
cg24077977,,1,II
cg04885574,N_Shelf,11,II
cg26250886,S_Shelf,5,II
cg19963546,,6,II
cg09160681,,4,II
cg05675317,,22,II
cg18195119,,3,II
cg18794577,Island,9,I
cg13131686,,19,II
cg04947393,Island,2,II
cg00940007,N_Shore,15,II
cg04454272,Island,22,I
cg11109859,,2,II
cg02939105,Island,19,II
cg22255808,,8,II
cg02853225,,1,II
cg08510754,,13,II
cg09855544,,8,II
cg09007434,,3,I
cg16516670,,8,II
cg27147858,Island,11,II
cg03092390,,8,II
cg25390349,Island,10,II
cg05596759,,5,II
cg05721444,N_Shore,7,II
cg08343820,,2,II
cg03749016,Island,8,II
cg14715508,,11,II
cg03522403,Island,20,II
cg27636559,,15,II
cg08047086,,16,I
cg00833142,,2,II
cg17556283,,11,II
cg07024464,,2,II
cg25907334,,17,II
cg08395925,Island,15,II
cg22387186,S_Shore,10,II
cg04959285,S_Shore,9,II
cg02819010,N_Shelf,22,II
cg00655203,Island,16,I
cg03313849,,18,II
cg16545223,,2,II
cg23521338,,17,II
cg25112611,Island,14,I
cg02705837,Island,17,I
cg20909531,,2,II
cg17466841,Island,11,I
cg09715353,Island,2,II
cg02173298,,7,II
cg07387570,Island,22,II
cg13628100,N_Shore,17,I
cg15085729,,12,II
cg03707696,,10,I
cg13857689,Island,1,I
