IlmnID,Infinium_Design_Type,CHR,MAPINFO,Relation_to_UCSC_CpG_Island
cg08324945,I,4,73435229,Island
cg08326515,II,4,111564605,S_Shelf
cg08330011,I,4,4232220,S_Shelf
cg08330919,II,4,40058921,Island
cg08330972,I,4,2403930,S_Shelf
cg08331733,I,4,113332969,Island
cg08332875,II,4,1661356,S_Shore
cg08332990,II,4,997351,Island
cg08334278,I,4,190959052,Island
cg08334726,II,4,185012068,
cg08334984,II,4,144621938,Island
cg08335618,II,4,108910565,N_Shore
cg08339159,II,4,155507878,
cg08341316,II,4,107956955,Island
cg08343347,II,4,36076000,
cg08345040,II,4,8608235,
cg08346159,I,4,164265012,Island
cg08346210,II,4,130012176,N_Shelf
cg08346735,II,4,184829966,S_Shore
cg08353062,II,4,39529052,Island
cg08354106,II,4,7961982,
cg08354216,II,4,146951349,
cg08356926,II,4,70893329,
cg08357601,II,4,71554472,Island
cg08357827,I,4,3534149,Island
cg08358983,I,4,156680050,N_Shore
cg08364334,II,4,154601692,N_Shelf
cg08365591,II,4,1604798,S_Shelf
cg08368094,II,4,74286665,
cg08368330,I,4,189895923,
cg08371947,II,4,8477793,
cg08373477,II,4,1957896,
cg08374659,II,4,148488545,
cg08374687,I,4,123300658,Island
cg08375775,I,4,169239733,Island
cg08376014,II,4,79582887,
cg08376020,II,4,8154317,Island
cg08377000,II,4,90033921,S_Shore
cg08377398,I,4,6202553,Island
cg08383938,II,4,146200144,
cg08384155,I,4,119948360,
cg08384502,II,4,123653922,Island
cg08388763,I,4,20986246,
cg08389091,I,4,159593240,Island
cg08392212,II,4,151048754,
cg08393424,II,4,3691908,
cg08393516,II,4,987108,S_Shore
cg08393972,I,4,2372832,
cg08395009,II,4,25680526,S_Shelf
cg08395459,II,4,4147958,S_Shelf
cg08395632,II,4,1517728,N_Shelf
cg08395784,II,4,708242,
cg08396113,II,4,148605045,Island
cg08399308,II,4,83506843,
cg08399336,I,4,129488643,
cg08400124,II,4,77507102,Island
cg08402246,II,4,58059773,N_Shore
cg08402439,I,4,180980552,Island
cg08403043,II,4,3417371,S_Shelf
cg08404328,II,4,56212072,N_Shore
cg08405119,II,4,53728999,Island
cg08414965,II,4,72900088,S_Shelf
cg08415281,II,4,57253721,Island
cg08415391,II,4,20574555,
cg08415977,II,4,7463138,
cg08416023,II,4,4404735,
cg08419567,I,4,1495770,S_Shore
cg08419589,I,4,74486230,Island
cg08420370,II,4,25093680,N_Shelf
cg08421057,I,4,170541546,Island
cg08421768,II,4,123797144,
cg08422456,II,4,88720194,
cg08422745,I,4,174089978,N_Shore
cg08422863,I,4,89300650,S_Shore
cg08423350,I,4,57253668,Island
cg08424587,I,4,41216479,Island
cg08425177,II,4,120516527,
cg08425479,I,4,126236006,Island
cg08427573,I,4,140374830,Island
cg08428452,II,4,20255343,Island
cg08428545,II,4,111507452,N_Shore
cg08436942,I,4,4249992,Island
cg08438033,II,4,72053397,Island
cg08440521,II,4,142054878,S_Shore
cg08440556,I,4,83718952,N_Shore
cg08441269,II,4,53815811,
cg08441414,II,4,170539168,N_Shelf
cg08442934,II,4,1773246,S_Shore
cg08443305,II,4,7043264,N_Shore
cg08443767,II,4,79860227,Island
cg08444731,I,4,71705269,Island
cg08446824,I,4,1720184,N_Shore
cg08447658,I,4,1339912,N_Shore
cg08447792,I,4,110600020,
cg08448170,II,4,183769251,
cg08448479,II,4,114214185,
cg08449090,II,4,709089,
cg08450348,II,4,1302456,N_Shore
cg08453458,II,4,187491428,
cg08454061,II,4,142820686,
cg08456051,II,4,190225902,N_Shelf
cg08459764,I,4,132677675,N_Shore
cg08459783,II,4,2259249,N_Shelf
cg08460812,II,4,109087419,N_Shore
cg08461576,II,4,102277629,
cg08462122,II,4,1160783,N_Shore
cg08462372,II,4,757312,S_Shelf
cg08462501,II,4,38138950,
cg08462952,II,4,1600710,Island
cg08464702,I,4,6988753,Island
cg08465785,I,4,128391703,
cg08466517,II,4,122138632,
cg08468299,I,4,1276510,
cg08472008,II,4,3531603,N_Shelf
cg08474478,I,4,184961323,
cg08474859,I,4,85414016,Island
cg08475096,II,4,158143750,Island
cg08475244,II,4,72670706,
cg08475853,I,4,9492758,N_Shelf
cg08477106,II,4,75895596,
cg08480901,I,4,1515011,Island
cg08488569,II,4,1749241,
cg08489228,II,4,9505764,
cg08489941,II,4,2766135,S_Shore
cg08490246,I,4,8346138,N_Shore
cg08492624,I,4,83206108,Island
cg08492720,II,4,53484845,
cg08493463,II,4,185139078,
cg08493921,II,4,31996756,
cg08494133,I,4,6588793,
cg08494390,II,4,87980297,
cg08497199,I,4,57253643,Island
cg08497917,II,4,101880285,
cg08500138,II,4,77743172,
cg08501915,II,4,129208894,Island
cg08503285,I,4,846652,S_Shelf
cg08506401,I,4,177236948,N_Shelf
cg08507725,I,4,8239220,
cg08508988,I,4,40752415,Island
cg08509927,I,4,5976063,
cg08512702,I,4,13548915,Island
cg08514408,II,4,71891972,
cg08515869,II,4,24523278,
cg08519270,I,4,190861788,Island
cg08519643,II,4,84030854,Island
cg08519853,I,4,143767621,Island
cg08520383,II,4,12539867,
cg08521859,II,4,1012469,
cg08521989,I,4,146402940,Island
cg08524389,I,4,3510683,N_Shore
cg08524525,II,4,123653978,Island
cg08524535,II,4,141658368,
cg08528970,II,4,76640579,
cg08529049,I,4,48988038,Island
cg08529267,II,4,8385035,N_Shelf
cg08530497,II,4,106155316,
cg08535148,I,4,26321143,Island
cg08536358,II,4,96760014,
cg08541219,II,4,108641287,Island
cg08541920,II,4,165858544,
cg08543721,II,4,175205820,S_Shore
cg08544583,I,4,1341575,S_Shore
cg08545123,II,4,16900254,
cg08547601,II,4,89204953,Island
cg08548444,II,4,174445082,S_Shore
cg08548535,II,4,155661052,N_Shore
cg08548659,II,4,32149506,
cg08549536,II,4,25797523,
cg08550435,II,4,23829879,
cg08553274,II,4,1353499,
cg08553437,I,4,122686456,Island
cg08553601,II,4,53729461,S_Shore
cg08553868,II,4,154682645,S_Shore
cg08554860,II,4,7512177,Island
cg08555013,I,4,83932063,Island
cg08555552,II,4,13536409,N_Shore
cg08555594,II,4,154216535,N_Shore
cg08555912,II,4,674399,N_Shore
cg08557246,II,4,8081417,
cg08558500,II,4,4249607,N_Shore
cg08570521,II,4,166794471,N_Shore
cg08572214,II,4,73936052,S_Shore
cg08572278,II,4,62467955,
cg08573926,I,4,191014397,S_Shore
cg08574140,II,4,15788633,
cg08574227,II,4,52944959,S_Shore
cg08574758,II,4,666278,N_Shore
cg08575049,II,4,126238838,Island
cg08575268,II,4,57411000,Island
cg08576095,II,4,18419287,
cg08576208,II,4,4858059,N_Shore
cg08576864,I,4,176922779,Island
cg08577953,I,4,100574455,Island
cg08577991,II,4,159149968,
cg08578776,II,4,81184245,N_Shelf
cg08579038,II,4,8062541,
cg08579192,II,4,124036573,
cg08581040,II,4,39172577,S_Shore
cg08582773,II,4,1627356,Island
cg08583231,I,4,22999086,
cg08583895,I,4,132647023,Island
cg08586692,II,4,80247088,
cg08589776,I,4,160025391,Island
cg08591388,II,4,44454053,S_Shelf
cg08592733,II,4,140374542,Island
cg08593261,I,4,85419494,Island
cg08595656,II,4,17723733,
cg08596858,II,4,187148316,
cg08602188,II,4,54235601,S_Shelf
cg08604533,I,4,1582248,S_Shore
cg08604785,I,4,899970,Island
cg08611402,II,4,80933006,
cg08611689,II,4,1505197,N_Shore
cg08614163,II,4,58030145,Island
cg08615699,II,4,187982852,N_Shore
cg08618463,II,4,146467791,
cg08619102,II,4,3765047,N_Shelf
cg08619385,II,4,144438035,S_Shelf
cg08619954,II,4,5526783,
cg08621893,II,4,123841798,N_Shore
cg08627193,II,4,16362666,Island
cg08627912,II,4,152913978,
cg08629836,I,4,3617256,
cg08629884,I,4,1719983,N_Shelf
cg08630040,II,4,108655678,
cg08634545,II,4,103719283,
cg08635159,II,4,174296965,S_Shelf
cg08635822,II,4,82958259,
cg08639389,II,4,26995889,
cg08643339,II,4,173759487,
cg08643994,I,4,141500606,
cg08644023,II,4,126237421,Island
cg08644045,II,4,3495341,
cg08644678,I,4,17711202,S_Shore
cg08644841,I,4,187065955,N_Shore
cg08647446,II,4,74486298,S_Shore
cg08649013,II,4,10042198,
cg08649765,II,4,75229506,
cg08650251,II,4,166030097,N_Shelf
cg08652808,II,4,80246713,
cg08655181,II,4,1569231,N_Shore
cg08655871,II,4,79971408,
cg08656504,II,4,104119605,Island
cg08659203,II,4,16079130,
cg08659517,II,4,2754593,N_Shelf
cg08659785,I,4,76931643,
cg08660876,II,4,154681323,Island
cg08661470,II,4,1556833,N_Shore
cg08661678,II,4,185381476,S_Shelf
cg08663159,I,4,101111872,S_Shore
cg08665312,II,4,41180048,
cg08665844,II,4,113485177,
cg08666333,II,4,56209383,N_Shelf
cg08666833,II,4,885963,N_Shore
cg08668316,I,4,380157,Island
cg08669018,II,4,82392280,N_Shore
cg08669168,II,4,53757661,
cg08669718,II,4,121568,N_Shelf
cg08670530,II,4,7042894,N_Shore
cg08670693,II,4,41162197,
cg08671647,II,4,30724564,Island
cg08674236,II,4,1980753,Island
cg08675565,II,4,189321244,
cg08677803,II,4,187454848,
cg08679403,II,4,184335033,
cg08683790,II,4,81243757,
cg08683831,II,4,1404607,S_Shore
cg08684066,II,4,89299173,N_Shore
cg08684581,II,4,93309639,
cg08684639,I,4,176987313,Island
cg08684761,I,4,25378980,Island
cg08695418,II,4,6729199,Island
cg08699206,I,4,1595414,Island
cg08700083,II,4,48382815,
cg08700197,II,4,114758389,
cg08702941,I,4,42155308,S_Shore
cg08703151,II,4,6299846,N_Shelf
cg08708229,I,4,90758216,Island
cg08712190,II,4,71270447,
cg08712722,II,4,153601180,
cg08712866,I,4,157997526,Island
cg08713005,II,4,68567112,S_Shore
cg08713626,II,4,1334814,S_Shore
cg08714433,I,4,132896736,Island
cg08715465,II,4,7666117,Island
cg08715469,II,4,44728051,Island
cg08715725,II,4,184922433,
cg08715877,I,4,122618117,Island
cg08717219,II,4,83479442,N_Shelf
cg08718490,I,4,52943099,Island
cg08721746,II,4,39175442,S_Shelf
cg08721802,II,4,184642917,N_Shore
cg08722675,II,4,8412549,
cg08724409,I,4,78484327,
cg08724517,II,4,156298204,S_Shore
cg08725389,II,4,110736550,N_Shore
cg08726846,II,4,189204473,Island
cg08733172,II,4,174431860,S_Shore
cg08733482,II,4,111395729,N_Shore
cg08733824,II,4,25161471,N_Shore
cg08735710,II,4,129283787,
cg08736088,II,4,147866520,N_Shore
cg08736446,II,4,185939727,Island
cg08736516,II,4,109541802,
cg08739282,II,4,24586511,S_Shore
cg08740010,II,4,9499194,N_Shore
cg08741280,II,4,1736942,Island
cg08741531,II,4,24585489,Island
cg08741578,II,4,4250464,S_Shore
cg08741688,II,4,3415352,Island
cg08741833,II,4,190769280,S_Shore
cg08741843,II,4,1031015,S_Shore
cg08743303,II,4,24818471,
cg08743313,II,4,188843522,
cg08744727,I,4,206112,N_Shore
cg08745334,I,4,1754069,
cg08745665,I,4,10460009,S_Shore
cg08746033,II,4,175897327,
cg08746653,II,4,108913443,S_Shelf
cg08746785,II,4,98690072,
cg08748033,II,4,165111372,S_Shore
cg08748210,I,4,115437450,
cg08750890,I,4,151937039,Island
cg08750951,I,4,89378894,Island
cg08751845,II,4,83697085,
cg08752080,II,4,72631312,
cg08757862,II,4,38807382,
cg08757924,II,4,85306687,
cg08758727,II,4,17490571,
cg08758887,I,4,154373479,
cg08760493,II,4,109994039,
cg08763102,II,4,3079751,S_Shelf
cg08763422,I,4,1960364,
cg08765631,II,4,16731545,
cg08766099,I,4,734746,N_Shelf
cg08766283,I,4,118497254,
cg08767460,II,4,90759046,S_Shore
cg08767627,II,4,164252263,N_Shore
cg08768920,II,4,88233933,
cg08769212,II,4,930351,S_Shelf
cg08769276,I,4,186347048,Island
cg08769300,II,4,122871735,Island
cg08770523,I,4,103266227,Island
cg08774280,II,4,119826303,
cg08774350,II,4,54173521,
cg08774969,I,4,1006240,Island
cg08775137,I,4,41880319,Island
cg08775211,II,4,7395538,
cg08775963,II,4,95129012,Island
cg08783639,II,4,122598142,
cg08783845,II,4,76796984,
cg08784334,II,4,187563849,
cg08785164,II,4,37591965,
cg08786370,II,4,8527460,
cg08786822,II,4,3109268,
cg08788540,I,4,2249988,
cg08789134,I,4,6579201,S_Shelf
cg08789697,II,4,68801145,
cg08791953,I,4,8307888,Island
cg08796692,II,4,7192699,N_Shore
cg08802511,II,4,183245061,
cg08802910,I,4,1642061,N_Shelf
cg08808571,II,4,17513338,Island
cg08809542,II,4,146858263,Island
cg08810664,II,4,183673157,
cg08811082,II,4,24474861,Island
cg08811171,II,4,82226093,
cg08812889,I,4,174439925,Island
cg08813325,II,4,7699611,
cg08813377,II,4,190569726,S_Shelf
cg08813510,II,4,153686957,
cg08814640,II,4,39773083,Island
cg08814800,II,4,174421377,Island
cg08815403,II,4,88244142,
cg08815506,II,4,176826907,
cg08817120,II,4,41363320,Island
cg08817634,II,4,139646131,
cg08817983,II,4,3391423,
cg08818094,II,4,26806047,
cg08820079,II,4,3446946,N_Shelf
cg08821557,II,4,141348686,Island
cg08821747,II,4,39641752,S_Shore
cg08822227,II,4,2820468,S_Shore
cg08822523,II,4,91156290,
cg08823359,I,4,108641437,Island
cg08823577,I,4,985606,Island
cg08823975,II,4,185724646,Island
cg08824227,II,4,105513274,
cg08825286,I,4,10089919,
cg08831277,II,4,122617747,Island
cg08833010,II,4,1684739,N_Shore
cg08833126,II,4,180086254,
cg08833778,II,4,144622313,S_Shore
cg08835755,II,4,1514317,Island
cg08838260,II,4,140004785,Island
cg08839770,I,4,95373309,Island
cg08844887,I,4,1006120,Island
cg08845028,II,4,26491963,
cg08847300,II,4,3399249,
cg08847417,II,4,146682664,Island
cg08848753,I,4,976784,N_Shelf
cg08852033,II,4,109571502,N_Shore
cg08852245,I,4,175138785,S_Shelf
cg08853494,I,4,76439657,Island
cg08854306,I,4,91048557,Island
cg08855504,II,4,52924627,
cg08855551,II,4,71013352,
cg08855742,II,4,16086085,S_Shore
cg08857936,II,4,188539183,
cg08860639,II,4,828098,N_Shore
cg08867413,II,4,111545062,S_Shore
cg08869674,II,4,3424692,
cg08871609,I,4,89513540,Island
cg08872085,II,4,128704088,Island
cg08874747,II,4,187645280,Island
cg08886494,II,4,8084145,N_Shelf
cg08886695,I,4,3369023,S_Shelf
cg08887952,II,4,16257948,Island
cg08889014,I,4,8643218,N_Shelf
cg08889234,II,4,37868470,
cg08889789,I,4,1305886,S_Shore
cg08890690,II,4,111553018,N_Shore
cg08891545,II,4,1376376,
cg08891829,II,4,56231727,
cg08891883,II,4,8347266,N_Shore
cg08891904,I,4,980608,Island
cg08894362,I,4,74735030,Island
cg08894381,I,4,3685438,Island
cg08894790,II,4,177241590,Island
cg08895307,II,4,187222524,S_Shelf
cg08896901,II,4,152996165,
cg08896942,II,4,9780269,N_Shelf
cg08898622,II,4,40062021,S_Shelf
cg08899626,II,4,16900199,
cg08899937,II,4,1333755,N_Shore
cg08900656,I,4,127989506,
cg08900821,I,4,174431058,S_Shore
cg08901578,II,4,187885870,Island
cg08901704,I,4,8023314,
cg08902549,I,4,2540209,S_Shore
cg08904095,II,4,49323193,
cg08905166,I,4,57842832,Island
cg08905895,II,4,174452159,Island
cg08906246,II,4,5167599,
cg08906576,II,4,8368486,
cg08908264,II,4,79473488,S_Shore
cg08914932,II,4,184930883,
cg08915024,II,4,99445460,
cg08915603,I,4,187476569,Island
cg08916385,II,4,68622534,
cg08919486,I,4,859471,
cg08922603,II,4,4763690,
cg08923494,II,4,166797526,S_Shelf
cg08923624,II,4,725336,Island
cg08924430,II,4,106067052,N_Shore
cg08924554,II,4,57976775,Island
cg08925142,II,4,18023851,Island
cg08928646,II,4,68567174,S_Shore
cg08929548,II,4,113436625,Island
cg08931198,II,4,48343090,Island
cg08931847,II,4,1980206,N_Shore
cg08931861,II,4,1026501,N_Shore
cg08935526,II,4,25030010,N_Shelf
cg08936411,I,4,94054310,
cg08936645,I,4,37910273,
cg08937613,II,4,881914,S_Shelf
cg08942875,II,4,48908902,S_Shore
cg08943292,II,4,40337370,
cg08943428,I,4,81961493,
cg08944421,II,4,3310191,Island
cg08944683,II,4,103749377,Island
cg08947774,II,4,169644750,
cg08947915,I,4,1742463,
cg08948841,II,4,1244042,Island
cg08949974,II,4,40632860,S_Shore
cg08950161,I,4,82965818,Island
cg08951000,I,4,103749375,Island
cg08952017,II,4,44677251,N_Shelf
cg08953726,II,4,9508177,
cg08954277,I,4,1535673,S_Shore
cg08957091,II,4,120448071,
cg08958424,II,4,7280063,
cg08958755,II,4,17576199,N_Shelf
cg08961294,II,4,5052379,N_Shore
cg08961408,II,4,106816564,Island
cg08961668,II,4,6957863,
cg08962709,II,4,95128673,Island
cg08962841,II,4,89619549,
cg08963972,II,4,5021694,S_Shore
cg08967837,I,4,186392746,Island
cg08968034,II,4,3022836,
cg08968896,I,4,183834069,N_Shelf
cg08969937,II,4,8418006,
cg08970682,II,4,106472990,
cg08979261,I,4,9484955,
cg08979352,I,4,99580530,S_Shore
cg08979895,II,4,111540126,Island
cg08980697,II,4,82362415,
cg08981041,II,4,117624191,N_Shelf
cg08983064,II,4,4870123,S_Shore
cg08985063,II,4,4866800,Island
cg08985539,II,4,2217067,
cg08985766,II,4,55521379,N_Shelf
cg08985817,II,4,3783460,
cg08985979,II,4,183062576,N_Shore
cg08986765,II,4,152681979,N_Shore
cg08987594,I,4,106405819,
cg08988420,II,4,186435488,
cg08988543,II,4,100140396,
cg08990543,II,4,57306194,S_Shelf
cg08992305,I,4,165878219,Island
cg08993103,II,4,25776626,
cg08993690,II,4,124621838,
cg08996726,II,4,141067418,
cg09001953,II,4,186347682,S_Shore
cg09006039,II,4,65778481,
cg09009536,I,4,66535383,Island
cg09010346,II,4,142557655,Island
cg09010372,II,4,1323433,S_Shore
cg09013032,II,4,88225834,
cg09013709,I,4,135248608,
cg09015566,II,4,53264,Island
cg09018429,II,4,3309966,N_Shore
cg09018824,II,4,41361919,N_Shore
cg09018944,I,4,9453650,
cg09019546,II,4,185936575,N_Shore
cg09020341,I,4,71704808,Island
cg09020375,II,4,76995494,
cg09022993,II,4,52917875,Island
cg09023584,II,4,2273606,N_Shelf
cg09024126,I,4,16085603,Island
cg09027155,II,4,62930108,
cg09027651,II,4,186456466,Island
cg09028748,I,4,9602138,
cg09029046,II,4,185377241,N_Shore
cg09029193,II,4,1225507,S_Shore
cg09029887,II,4,6008765,N_Shore
cg09029959,I,4,163905924,
cg09030829,II,4,24485448,
cg09030852,II,4,170629768,
cg09031823,II,4,83674996,
cg09033756,II,4,109094333,Island
cg09037726,II,4,76995173,
cg09038155,I,4,139937227,Island
cg09053907,I,4,75720055,S_Shore
cg09054949,I,4,74735101,Island
cg09054951,II,4,183688479,
cg09056495,II,4,3690828,
cg09057801,I,4,5570187,Island
cg09058931,II,4,6611636,
cg09062218,II,4,4671041,
cg09064304,I,4,141419169,Island
cg09067967,I,4,39529342,Island
cg09070522,I,4,57774717,Island
cg09074743,II,4,119199621,Island
cg09075114,II,4,25165803,S_Shelf
cg09082664,I,4,23890701,
cg09082903,I,4,164253207,Island
cg09084085,I,4,1368432,S_Shore
cg09084892,II,4,187557837,
cg09086615,II,4,127966639,
cg09086900,II,4,78916381,
cg09087966,II,4,78079025,Island
cg09088577,II,4,146096074,
cg09089644,II,4,178230931,Island
cg09091273,II,4,714323,N_Shore
cg09095080,II,4,103787113,N_Shelf
cg09095914,II,4,649881,N_Shore
cg09096084,II,4,10117799,Island
cg09096383,II,4,70796842,
cg09098144,II,4,186134757,S_Shelf
cg09098195,I,4,42155260,S_Shore
cg09098545,II,4,97914176,
cg09099893,II,4,17516661,S_Shelf
cg09099927,II,4,40045641,Island
cg09100013,I,4,96469634,Island
cg09102610,II,4,94427508,
cg09105913,II,4,26492153,
cg09106587,II,4,122155606,
cg09107603,II,4,39560775,
cg09108314,II,4,123776159,
cg09109534,II,4,186067933,S_Shelf
cg09109880,I,4,184365620,Island
cg09111071,I,4,38665154,Island
cg09111223,I,4,93225086,N_Shore
cg09112514,I,4,55096230,Island
cg09112717,I,4,100009950,Island
cg09114528,II,4,2419451,Island
cg09114672,II,4,7028038,S_Shore
cg09117206,I,4,109684077,Island
cg09120456,II,4,120549740,Island
cg09120722,II,4,186549051,S_Shelf
cg09120873,II,4,184686773,
cg09120959,II,4,154684504,S_Shelf
cg09121055,I,4,165941348,
cg09122442,II,4,6894410,
cg09123615,II,4,7986477,
cg09124018,I,4,85048240,
cg09124369,I,4,26064894,
cg09124415,II,4,122611137,
cg09125779,I,4,57547999,
cg09126279,II,4,40675171,
cg09126541,II,4,77918884,
cg09132944,II,4,30095297,
cg09133192,II,4,89205337,Island
cg09133485,II,4,8386266,N_Shelf
cg09134003,II,4,113436984,Island
cg09141303,II,4,103998291,S_Shore
cg09141635,II,4,40623291,
cg09141939,II,4,139798470,
cg09142408,II,4,100484885,Island
cg09146695,II,4,109089501,Island
cg09148176,II,4,184162334,
cg09150065,I,4,42158732,S_Shelf
cg09150075,I,4,164088186,S_Shore
cg09150152,I,4,106422174,
cg09151583,II,4,881283,S_Shelf
cg09153458,II,4,979307,N_Shore
cg09153659,II,4,37731893,
cg09154034,II,4,172846599,
cg09155692,II,4,184723252,S_Shelf
cg09156233,I,4,95679705,Island
cg09157302,I,4,25656830,N_Shore
cg09157668,I,4,37247022,S_Shore
cg09160332,II,4,120329925,
cg09160681,II,4,76094406,
cg09160776,II,4,56659924,Island
cg09162056,I,4,174255944,Island
cg09163270,II,4,188858971,
cg09163478,II,4,62936530,
cg09164670,II,4,129731835,N_Shore
cg09167951,II,4,139408972,
cg09168222,II,4,89299733,N_Shore
cg09169953,II,4,111555102,Island
cg09170347,II,4,128883494,N_Shelf
cg09170553,II,4,298743,N_Shore
cg09172812,II,4,141564884,
cg09176893,I,4,100574596,Island
cg09178384,II,4,170193375,S_Shore
cg09180890,II,4,4170910,
cg09181644,II,4,141490428,S_Shore
cg09183840,I,4,48138347,
cg09189601,II,4,69514031,
cg09190280,II,4,2043414,Island
cg09190466,II,4,16598089,
cg09190824,I,4,77662419,Island
cg09190885,II,4,183966342,
cg09191036,II,4,9783363,Island
cg09191232,II,4,108642411,S_Shore
cg09192412,II,4,110621006,N_Shelf
cg09197432,II,4,183729176,Island
cg09199014,I,4,6052533,
cg09205065,II,4,69215318,Island
cg09209002,I,4,71554199,Island
cg09212489,II,4,108539552,
cg09215582,II,4,71575507,S_Shelf
cg09216008,II,4,939597,N_Shore
cg09216442,II,4,6203560,S_Shore
cg09217856,I,4,3416000,S_Shore
cg09218398,I,4,1016669,N_Shore
cg09218510,II,4,25005684,
cg09221015,I,4,84256398,Island
cg09221867,II,4,134071663,Island
cg09222579,II,4,13852818,
cg09223687,I,4,1027885,Island
cg09224134,I,4,187112519,Island
cg09225701,II,4,8248877,
cg09226290,I,4,23616680,
cg09226319,II,4,74698986,N_Shelf
cg09226900,I,4,178478677,
cg09227533,I,4,186945339,
cg09228831,II,4,90204099,
cg09229947,II,4,153701185,Island
cg09231170,II,4,3812267,
cg09232805,II,4,173935615,
cg09233659,II,4,88832540,
cg09234053,II,4,160024219,Island
cg09234283,II,4,113207277,Island
cg09234297,I,4,185355214,
cg09237302,II,4,906077,N_Shore
cg09237447,II,4,19984063,
cg09237562,I,4,137733853,S_Shore
cg09238520,II,4,143754306,
cg09241455,II,4,37667583,
cg09241718,I,4,132898790,Island
cg09242288,II,4,34312045,
cg09242755,II,4,68334016,
cg09242823,I,4,3690945,
cg09244489,II,4,89744743,
cg09246878,II,4,160304826,
cg09247294,II,4,40045115,N_Shore
cg09248380,II,4,111397190,N_Shore
cg09248887,II,4,47123421,
cg09248897,II,4,165119501,
cg09249657,II,4,40518806,
cg09250193,I,4,132669467,Island
cg09253830,I,4,8389097,S_Shore
cg09256880,II,4,2791952,N_Shelf
cg09258200,II,4,77669688,
cg09269276,II,4,140219912,N_Shelf
cg09269619,II,4,713179,N_Shore
cg09269811,II,4,155491529,
cg09270434,II,4,41262458,S_Shelf
cg09272385,I,4,190345698,
cg09278283,I,4,36376970,
cg09278540,II,4,74719112,Island
cg09278789,II,4,1531410,N_Shelf
cg09279566,I,4,939162,N_Shore
cg09287343,II,4,4147643,S_Shore
cg09289469,II,4,106321260,
cg09290505,II,4,1991636,N_Shelf
cg09290600,II,4,41753032,N_Shore
cg09290704,I,4,190728249,N_Shelf
cg09292069,II,4,77801348,
cg09292471,II,4,59366040,
cg09292525,II,4,6841503,
cg09295382,II,4,106068032,S_Shore
cg09295573,I,4,37245514,Island
cg09296942,II,4,99430524,
cg09297225,II,4,56656788,N_Shelf
cg09298466,II,4,183370458,Island
cg09301458,II,4,5624507,
cg09301559,II,4,187209867,
cg09307838,I,4,120376055,Island
cg09308801,II,4,1985528,N_Shore
cg09308803,II,4,100871536,Island
cg09308829,II,4,185395852,Island
cg09309973,II,4,47033248,N_Shore
cg09311149,II,4,95091211,
cg09315024,I,4,103749082,Island
cg09315464,II,4,153895184,N_Shore
cg09316306,II,4,38807337,
cg09317128,II,4,56265301,S_Shelf
cg09317554,II,4,151505084,Island
cg09317774,II,4,154137795,
cg09318921,II,4,17490309,
cg09319706,I,4,75024153,S_Shore
cg09327821,II,4,6380399,Island
cg09328046,I,4,1505324,Island
cg09329496,I,4,140223063,Island
cg09333481,II,4,84457116,Island
cg09333785,I,4,8202491,
cg09339763,II,4,174452612,Island
cg09344644,I,4,2757922,Island
cg09345555,II,4,29119213,
cg09346617,II,4,75719709,Island
cg09346775,II,4,1028067,N_Shore
cg09347160,II,4,83513063,
cg09349604,II,4,41880747,N_Shore
cg09350414,II,4,120222193,S_Shore
cg09351881,II,4,188190184,
cg09353999,I,4,117520552,Island
cg09354241,I,4,13540850,N_Shelf
cg09355803,II,4,144259119,S_Shore
cg09356916,II,4,23791473,
cg09357151,I,4,178392387,
cg09357276,I,4,188917856,S_Shore
cg09357438,II,4,57688282,S_Shore
cg09357979,II,4,25915643,Island
cg09359391,II,4,979183,N_Shore
cg09362354,II,4,103790571,S_Shore
cg09362608,II,4,6659805,N_Shore
cg09362796,I,4,3204792,
cg09363243,II,4,129805520,
cg09363342,I,4,1765091,Island
cg09363604,II,4,83675306,
cg09364582,II,4,178649783,
cg09366620,II,4,3039208,N_Shelf
cg09366730,I,4,2341370,Island
cg09367432,II,4,3643635,N_Shore
cg09371344,II,4,1828603,Island
cg09372692,I,4,148785459,
cg09373676,II,4,186227243,
cg09373875,II,4,159182779,
cg09374173,II,4,9383942,S_Shore
cg09374462,I,4,49314051,
cg09377308,II,4,124274974,
cg09378743,II,4,183366320,N_Shelf
cg09380600,I,4,190906121,Island
cg09381022,II,4,120465302,
cg09381178,II,4,106067367,N_Shore
cg09381441,II,4,122795753,S_Shelf
cg09382601,II,4,619659,Island
cg09382966,II,4,146127289,
cg09390241,I,4,8174148,
cg09390371,I,4,39460303,Island
cg09390974,II,4,103423492,S_Shore
cg09398845,II,4,123653705,Island
cg09400081,II,4,146404033,S_Shore
cg09406715,II,4,168779197,
cg09407232,II,4,298681,N_Shore
cg09407239,II,4,179059686,
cg09407322,I,4,159850156,
cg09408462,II,4,157656850,
cg09408968,I,4,7710177,
cg09409168,II,4,8436419,
cg09411242,II,4,581741,N_Shore
cg09412707,II,4,26085653,
cg09412808,I,4,57180590,Island
cg09413645,II,4,77933741,
cg09414773,II,4,41992992,Island
cg09415518,II,4,69093675,
cg09416959,II,4,120243311,
cg09418519,I,4,15683124,Island
cg09422220,I,4,141445306,Island
cg09422701,II,4,71961266,
cg09423459,I,4,110354674,Island
cg09423836,II,4,77070069,S_Shore
cg09424308,II,4,7046094,S_Shore
cg09427605,II,4,146740968,
